Código OACI;Nome;Município;UF;Longitude;Latitude;Altitude;Operação Diurna;Comprimento 1;Largura 1
SSZB;Fazenda Chalana;DIAMANTINO;MT;"057°09'29""W";"14°09'54""S";547;VFR;1000;18
SSFS;Fazenda Sapezal;SAPEZAL;MT;"058°46'56""W";"13°19'57""S";542;VFR;1200;20
SJHN;Fazenda Meio Século;ITAQUIRAÍ;MS;"054°11'10""W";"23°16'51""S";386;VFR;1150;23
SWYS;Usina Cerradão;FRUTAL;MG;"049°07'22""W";"19°55'47,6""S";520;VFR;1100;30
SJVB;Bugio;PEDRINHAS PAULISTA;SP;"050°43'54""W";"22°50'55""S";358;VFR;700;18
SDXZ;Fazenda Agrorosso;SÃO MIGUEL DO PASSA QUATRO;GO;"048°41'00""W";"16°55'44""S";1009;VFR;1000;30
SNEA;Estância Primavera;ALEGRETE;RS;"055°26'08""W";"30°03'29""S";147;VFR;575;20
SJZO;Zi Viol;CAMPO GRANDE;MS;"054°04'14""W";"20°58'18""S";503;VFR;700;18
SSSM;Matheus Lopes Maia da Silva;ITAMARATI;AM;"068°15'27""W";"06°24'56""S";119;VFR;1200;20
SWJF;Fazenda São Francisco;CORUMBÁ;MS;"056°53'59""W";"17°38'53""S";106;VFR;550;20
SSQG;Fazenda Bom Gosto ;RONDON DO PARÁ;PA;"048°57'27,3""W";"04°52'19,3""S";158;VFR;700;18
SJNO;Fazenda Bela Nova;ITAJU DO COLÔNIA;BA;"039°39'52""W";"15°01'59""S";217;VFR;500;18
SJDG;Jorge de Barros Carvalho;SALTO GRANDE;SP;"049°53'29""W";"22°53'15""S";476;VFR;600;18
SIEH;Fazenda Vô Chico;JALES;SP;"050°36'45""W";"20°18'44""S";469;VFR;900;20
SIFE;Fazenda Estiva;MARACAJU;MS;"055°05'39""W";"21°43'31""S";381;VFR;900;18
SICW;Fazenda Santa Fé;CAMPO ALEGRE DE GOIÁS;GO;"047°49'31""W";"17°27'18""S";966;VFR;650;18
SSGS;Fazenda São Pedro;ELDORADO;MS;"054°04'45,7""W";"23°39'51,2""S";305;VFR;500;20
SJQQ;Fazenda Terra Alta;PORTEL;PA;"050°59'20""W";"02°51'33""S";20;;840;18
SJFJ;Fazenda Jaraguá;TERENOS;MS;"054°48'29""W";"20°29'59""S";536;VFR;900;18
SIBK;Aeroclube de Bagé;BAGÉ;RS;"054°08'09""W";"31°19'40""S";222;VFR;570;30
SDRZ;Fazenda Vó Zita do Rio Vermelho;CORUMBÁ;MS;"056°52'52""W";"19°36'54""S";95;VFR;550;20
SDLR;Luiz Ribeiro Maia;TAPAUÁ;AM;"063°11'09""W";"05°38'10""S";51;VFR;1200;23
SNUD;Fazenda Arruda Ramos;PORTO ESPERIDIÃO;MT;"059°01'26""W";"15°47'20""S";281;VFR;900;18
SSYV;Fazenda Indaiá;CHAPADÃO DO SUL;MS;"052°54'06""W";"18°40'47""S";851;VFR;1000;18
SSNN;Fazenda Nova Fartura;PLANALTO DA SERRA;MT;"054°46'02""W";"14°26'27""S";457;VFR;799;20
SSWV;Fazenda Vista Alegre;SÃO FÉLIX DO XINGU;PA;"051°54'48""W";"09°38'47""S";309;VFR;1100;24
SITC;Fazenda Colorado;SORRISO;MT;"055°26'43""W";"13°07'56""S";435;VFR;1000;18
SWJL;Fazenda Invernada;ITAJÁ;GO;"051°15'58""W";"19°02'13""S";410;VFR;800;20
SNCC;Fazenda Centrino;CABIXI;RO;"060°48'10""W";"13°34'34""S";196;VFR;1000;18
SNWO;Fazenda Vera Cruz;AMAMBAI;MS;"054°37'46""W";"23°01'07""S";374;VFR;800;18
SIPL;Pista Aldeia Pykararankre;SÃO FÉLIX DO XINGU;PA;"052°39'25""W";"07°27'37""S";229;VFR;1000;23
SWOL;Fazenda Roncador;BARRA DO GARÇAS;MT;"052°24'00""W";"15°05'46""S";412;VFR;900;30
SDJS;Andorinha;UIRAMUTÃ;RR;"060°14'30""W";"04°43'38""N";224;VFR;820;20
SDVF;Santo Antônio do Pão;UIRAMUTÃ;RR;"060°10'53""W";"04°35'23""N";199;VFR;688;20
SDBI;Fazenda Piray;SETE QUEDAS;MS;"055°03'21""W";"23°53'07""S";354;;800;20
SNFC;Marina do Caraipé;TUCURUÍ;PA;"049°40'58""W";"03°51'35""S";110;;350;20
SIJY;Campo Comandantes;ITAJAÍ;SC;"048°48'51,76""W";"26°58'51,78""S";10;VFR;1400;23
SIGL;Fazenda Dumont - Chiquinho Ribeiro;BRAGANÇA PAULISTA;SP;"046°38'48""W";"23°00'24""S";805;VFR;600;18
SWNU;Fazenda Maringá;IPIXUNA DO PARÁ;PA;"048°06'25""W";"03°09'43""S";43;VFR;900;18
SDGF;Usina Santa Luzia;NOVA ALVORADA DO SUL;MS;"054°14'01""W";"21°33'09""S";407;;1500;23
SNKP;Conquista do Pontal;MIRANTE DO PARANAPANEMA;SP;"052°06'29""W";"22°23'02""S";409;VFR;1065;23
SJEG;Estância Esmeralda;CORUMBÁ;MS;"057°09'32""W";"20°09'37""S";132;;800;20
SDSV;Santa Cândida;GUARIBA;SP;"048°10'16""W";"21°20'01""S";634;VFR;800;20
SDIZ;Fazenda Diamante;BAIXA GRANDE DO RIBEIRO;PI;"045°30'15""W";"09°03'32""S";545;VFR;1400;23
SNIJ;Joca Viol;BIRIGUI;SP;"050°24'41,8""W";"21°16'59,2""S";447;VFR;500;18
SILQ;Aeroleve Aeródromo Privado;CASCAVEL;PR;"053°29'45,9""W";"24°55'44,41""S";690;VFR;479;20
SIID;Fazenda Dona Chica;OSÓRIO;RS;"050°22'20""W";"30°02'01""S";33;VFR;800;18
SNYH;Fazenda Vale Sereno;CUMARU DO NORTE;PA;"051°10'21""W";"08°42'02""S";334;;1400;23
SJSM;Chácara Marcella;GOIOERÊ;PR;"053°00'34""W";"24°12'34,9""S";490;VFR;490;18
SN6O;Fazenda Quebracho Brasil;PORTO MURTINHO;MS;"057°53'59""W";"21°50'53""S";82;;900;30
SSUW;Fazenda Palmeiras;CENTENÁRIO DO SUL;PR;"051°30'15""W";"22°46'31""S";448;VFR;800;20
