Código OACI;Nome;Município;UF;Longitude;Latitude;Altitude;Operação Diurna;Comprimento 1;Largura 1
SIAJ;Fazenda Tauá;PRADO;BA;"039°09'50""W";"16°59'00""S";13;VFR;1100;23
SDUA;Vale do Curuá;NOVO PROGRESSO;PA;"055°23'33""W";"07°02'18""S";225;VFR;700;20
SJBW;Berger Vile;SÃO LEOPOLDO;RS;"051°12'35""W";"29°43'59""S";8;VFR;799;18
SSYF;Fazenda do Café;MONTE ALEGRE DE MINAS;MG;"048°43'18""W";"18°52'22""S";842;;1200;24
SJXE;Deputado Moraes Souza;BURITI DOS LOPES;PI;"041°52'05""W";"03°09'16""S";58;VFR;1200;25
SWHS;Fazenda São João;MAURILÂNDIA;GO;"050°22'51""W";"18°03'01""S";519;;800;30
SWOS;Fazenda Santa Márcia;CAIAPÔNIA;GO;"052°08'33""W";"16°34'51""S";663;VFR;1150;28
SDBZ;Fazenda Brauna;ARRAIAS;TO;"046°53'12""W";"12°32'58""S";399;VFR;1250;23
SSQD;Fazenda Panamby;QUERÊNCIA;MT;"052°10'39""W";"13°02'49""S";380;VFR;1300;23
SNAD;Fazenda Águia Branca;CENTRO NOVO DO MARANHÃO;MA;"046°46'36""W";"03°19'36""S";125;;800;18
SILB;Fazenda Belizário;RIACHÃO DAS NEVES;BA;"045°44'01""W";"11°31'44""S";794;VFR;1700;30
SNDD;Condomínio Aeronáutico Santos Dumont;ELIAS FAUSTO;SP;"047°19'26""W";"23°04'05""S";654;VFR;1200;30
SWPH;Fazenda Paulo Abreu;BARRA DO GARÇAS;MT;"052°07'48""W";"15°13'34""S";302;VFR;900;18
SSTY;Fazenda Tosana;CABO FRIO;RJ;"042°01'30""W";"22°35'49""S";3;;640;30
SSKR;Fazenda Primavera;PARAÚNA;GO;"050°48'59""W";"17°09'49""S";704;VFR;900;19
SISW;Fazenda Mato Grosso;CAMPOS DE JÚLIO;MT;"059°09'46""W";"13°49'22""S";515;VFR;1200;20
SIRQ;Fazenda Ouro Verde;PORTO ALEGRE DO NORTE;MT;"051°58'50""W";"10°36'56""S";231;VFR;900;18
SN2C;Morro do Chapéu;MORRO DO CHAPÉU;BA;"041°10'47""W";"11°32'01""S";1093;;1000;25
SNKE;Santana do Araguaia;SANTANA DO ARAGUAIA;PA;"050°19'42,73""W";"09°19'11,66""S";187;;1400;23
;AAGR - Associação Aerodesportiva de Guaporé;GUAPORÉ;RS;"051°51'16,32""W";"28°53'42,65""S";482;;999;18
SDAN;Fazenda Santo Ângelo;BROTAS;SP;"048°15'28""W";"22°14'44""S";512;VFR;800;21
SWKF;Fazenda Furnas do Sararé;PONTES E LACERDA;MT;"059°25'18""W";"15°02'41""S";270;VFR;900;18
SDRF;Fazenda Recanto Feliz;RIO CLARO;RJ;"044°03'03""W";"22°44'46""S";533;;850;20
SNCY;Campo da Praia;CORURIPE;AL;"036°17'07""W";"10°13'22""S";42;VFR;700;18
SSTD;Stracci;SÃO DESIDÉRIO;BA;"046°15'55""W";"12°40'51""S";913;VFR;1125;20
SJNG;Xidea;ALTO ALEGRE;RR;"063°52'10""W";"02°36'25""N";606;VFR;800;30
SDJN;Fazenda São Luiz;JARDINÓPOLIS;SP;"047°44'01,7""W";"21°05'48""S";589;VFR;600;23
SDME;Marchesan S.A;MATÃO;SP;"048°23'34,4""W";"21°37'46""S";590;VFR;1100;20
SDHE;Fazenda Herdade;ITAPIRA;SP;"046°50'35""W";"22°29'30""S";740;VFR;550;30
SDQJ;Fazenda Santo Antônio da Serra do Boqueirão;WANDERLEY;BA;"043°49'09""W";"11°39'37""S";424;VFR;1200;23
SJQD;Grupo Shimohira;FORMOSA DO RIO PRETO;BA;"046°28'25""W";"11°27'03""S";885;;1000;20
SJZM;Fazenda Santa Clara ;RIO VERDE DE MATO GROSSO;MS;"055°12'06""W";"18°56'18""S";152;VFR;800;18
SWFF;Fazenda Franciosi;SAPEZAL;MT;"058°28'22""W";"13°25'08""S";515;VFR;1000;18
SDBE;Biopalma;MOJU;PA;"048°48'50""W";"02°12'28""S";20;VFR;1300;24
SDZZ;Sítio São José;NOVA EUROPA;SP;"048°32'38""W";"21°47'52""S";545;;585;20
SIW3;Zeus Mineração Ltda;CAVALCANTE;GO;"047°47'59""W";"13°27'38""S";954;VFR;1100;23
SWQH;Fazenda Nova Santana;ARIPUANÃ;MT;"060°32'40""W";"10°08'04""S";136;;1100;18
SWAG;Agrícola Rio Galhão;MATEIROS;TO;"046°04'37""W";"10°25'28,9""S";778;VFR;1275;23
SNCL;Lorenzo;CAIRU;BA;"038°54'36""W";"13°23'22""S";1;;805;18
SDCL;Fazenda Campo Alegre;CERQUEIRA CÉSAR;SP;"049°12'32""W";"23°09'15""S";665;VFR;600;23
SSXZ;Fazenda Santa Terezinha;NOVA ROMA;GO;"046°58'57""W";"14°02'03""S";455;VFR;1012;20
SSRO;Fazenda Arrojadinho;JABORANDI;BA;"045°32'50,7""W";"13°55'24,3""S";805;VFR;1200;20
SDJA;Dr. José Augusto de Arruda Botelho;ITIRAPINA;SP;"047°51'43""W";"22°11'41""S";783;VFR;1400;21
SINA;Asas do Ar;BRASÍLIA;DF;"047°34'25,9""W";"15°36'36,6""S";1159;VFR;507;18
SIUV;Fazenda Vianmacel;NOVA MARINGÁ;MT;"057°27'10""W";"12°12'34""S";357;VFR;1000;18
SNGO;Montes Claros de Goiás;MONTES CLAROS DE GOIÁS;GO;"051°31'21""W";"15°53'45""S";334;VFR;1180;30
SWDB;Fazenda Barro Preto;CORUMBÁ;MS;"057°12'22""W";"19°49'07""S";95;VFR;1000;50
SDSH;Fazenda Shalon (antigo Serafino Ferruzzi);ALTA FLORESTA;MT;"056°40'35""W";"09°59'16""S";267;VFR;1000;18
SITH;Fazenda Vitória;LUÍS EDUARDO MAGALHÃES;BA;"045°52'16""W";"12°09'04""S";737;;1100;20
SNYW;Antônio Guerreiro;GUIMARÃES;MA;"044°39'06""W";"02°06'37""S";47;;800;18
SSDM;Fazenda Serinhaém;ITUBERÁ;BA;"038°59'20,5""W";"13°50'00,7""S";5;VFR;790;18
SDDJ;Fazenda Santa Maria;MONÇÕES;SP;"050°04'59""W";"20°50'59""S";465;VFR;900;30
SSDG;Fazenda Nossa Senhora das Graças;SORRISO;MT;"055°50'04""W";"12°53'47""S";406;VFR;700;18
SNAC;Fazenda Santa Rosa;XINGUARA;PA;"050°05'18""W";"07°02'11""S";213;VFR;900;18
SDSI;Fazenda Alice;SAMBAÍBA;MA;"045°41'34""W";"07°37'39""S";378;VFR;920;18
SIYF;Fazenda São José;SERRANÓPOLIS;GO;"052°17'39""W";"18°13'59""S";697;VFR;1200;30
SSZK;Fazenda Água Santa;PERDIZES;MG;"047°21'32""W";"19°21'54""S";1060;VFR;1500;20
SIDR;Retiro Piúva;MIRANDA;MS;"056°42'12""W";"19°50'14""S";100;;500;18
SNGS;Aeroclube de Alagoas;MACEIÓ;AL;"035°45'01,8""W";"09°35'09,7""S";90;VFR;800;21
SDUR;Itaboraí;ITABORAÍ;RJ;"042°50'32""W";"22°42'46""S";16;VFR;470;15
SIVQ;Clube de Voo Aeroquadra;QUADRA;SP;"048°01'47,52""W";"23°18'52,74""S";660;VFR;799;18
SIAG;Fazenda Goiasa;GOIATUBA;GO;"049°42'20""W";"18°02'01""S";640;VFR;1200;30
SIWT;Fazenda Santa Terezinha I;SANTA TEREZINHA;MT;"050°36'37""W";"10°21'43""S";220;VFR;1200;20
SDNT;Fazenda Terra Prometida;PORTO NACIONAL;TO;"048°15'24""W";"10°24'52""S";271;VFR;1210;20
SJKB;Fazenda Adelaide;BRASNORTE;MT;"058°01'33""W";"13°05'15""S";469;VFR;1000;18
SSAZ;Stratus Ale;NATAL;RN;"035°13'07""W";"05°44'17""S";5;VFR;400;18
SITL;Fazenda Figueira II;ÁGUA CLARA;MS;"053°04'15""W";"20°10'02""S";413;VFR;1100;23
SIWK;Pista Aldeia Moykarako;SÃO FÉLIX DO XINGU;PA;"051°49'11""W";"07°26'04""S";272;VFR;799;18
SDAF;Fazenda Palmeiras;ANALÂNDIA;SP;"047°43'09""W";"22°09'24""S";854;VFR;1000;18
SDXY;Sitio Cajuapara;ITINGA DO MARANHÃO;MA;"047°32'41""W";"04°33'53""S";299;VFR;1360;15
SIVR;Fazenda Fortuna;JACAREACANGA;PA;"056°54'56""W";"09°09'58""S";198;VFR;900;18
SIBN;Savana;JARU;RO;"062°30'26""W";"10°26'29""S";175;VFR;700;18
SJPK;Fazenda Campo das Princesas;TIMON;MA;"042°49'45,32""W";"05°19'20,08""S";70,4;VFR;900;18
SWUE;Fazenda Tapayuna;NOVA CANAÃ DO NORTE;MT;"055°56'12""W";"10°42'12""S";265;;1000;20
SWLH;Fazenda Nova Holanda;BALSAS;MA;"046°21'30,83""W";"08°48'23,81""S";508;VFR;1050;18
SISA;Pista Aldeia Aukre;OURILÂNDIA DO NORTE;PA;"051°52'34""W";"07°41'51""S";272;VFR;850;23
SIPN;Fazenda Progresso;PORTO MURTINHO;MS;"057°41'26""W";"21°31'00""S";93;;800;18
SWSX;Xinguara;XINGUARA;PA;"049°58'35""W";"07°05'26""S";247;VFR;950;23
SNVN;Fazenda Vitória Santa;SANTA VITÓRIA;MG;"050°22'23""W";"18°56'00""S";452;VFR;1000;30
SDTE;Fazenda Tapijara;ARANDU;SP;"049°04'32""W";"23°13'14""S";584;VFR;1140;18
SBUY;Urucu;COARI;AM;"065°21'21""W";"04°52'59""S";64;VFR / IFR;1320;30
SISM;Sérgio Miranda;MACAPÁ;AP;"051°08'58""W";"00°02'25""N";19;VFR;580;18
SNKQ;Fazenda Quebraxo;PORTO MURTINHO;MS;"057°39'22""W";"21°04'57""S";92;VFR;900;23
SIFU;Fazenda Ribeirão;BARRA DO PIRAÍ;RJ;"043°46'31""W";"22°24'56""S";402;;600;18
SSOZ;Fazenda Onça Parda;ANTÔNIO JOÃO;MS;"055°46'40""W";"22°15'56""S";658;VFR;750;18
SNEI;Fazenda São Miguel;RIO PARDO;RS;"052°10'20""W";"30°10'42,6""S";74;VFR;800;20
SDVT;Fazenda Campo Verde;TAQUARUSSU;MS;"053°30'28""W";"22°39'06""S";257;VFR;1000;18
SSLX;Fazenda Santa Lydia;DIAMANTE DO NORTE;PR;"052°48'30""W";"22°37'59""S";306;VFR;1100;18
SJZN;Fazenda Cima;SAPEZAL;MT;"058°36'33""W";"12°59'26""S";491;VFR;1100;18
SIBO;Simão Sarkis Simão;TRÊS MARIAS;MG;"045°17'36""W";"18°18'35""S";575;VFR;800;18
SDMG;HAXIU;ALTO ALEGRE;RR;"063°44'49""W";"02°40'33""N";120;VFR;515;19
SDZK;Waphuta;ALTO ALEGRE;RR;"063°42'35""W";"02°59'30""N";208;VFR;350;14
SDSD;Samã I;PACARAIMA;RR;"060°57'06""W";"04°24'43""N";169;VFR;600;15
SDZC;Uxiu;MUCAJAÍ;RR;"062°40'08""W";"02°42'29""N";75;VFR;420;16
SDRP;Onkiola;AMAJARI;RR;"064°09'45""W";"03°42'43""N";206;VFR;400;16
SIEW;Areia Branca;NOVO ARIPUANÃ;AM;"061°03'01""W";"07°59'16""S";96;VFR;1000;20
SJNA;Fazenda Nova Aliança;GLICÉRIO;SP;"050°11'35""W";"21°19'42""S";412;VFR;1000;25
SDVH;Fazenda Vale Eldorado - Dr José de Aguiar Leme;BRAGANÇA PAULISTA;SP;"046°38'13""W";"23°00'19""S";831;VFR;740;20
SDLU;Fazenda Santa Luíza;BARRA BONITA;SP;"048°31'28""W";"22°29'00""S";543;VFR;1400;25
SDDX;Fazenda Paiquerê;POPULINA;SP;"050°30'16""W";"19°53'03""S";430;VFR;1351;23
SDEN;COSTA ESMERALDA;PORTO BELO;SC;"048°37'18,4""W";"27°09'59,5""S";6;VFR;1195;23
SJQL;Águas Claras Aviação Agrícola;SANTA JULIANA;MG;"047°33'18""W";"19°19'20""S";1020;;900;25
SDCH;Fazenda Rosa dos Ventos;ITUMBIARA;GO;"049°50'47""W";"18°18'06""S";553;VFR;1000;23
SNBF;Fazenda Vale Verde;CANARANA;MT;"052°44'59""W";"13°21'22""S";371;VFR;800;19
SDRM;Olomai;AMAJARI;RR;"064°11'05""W";"03°55'36""N";173;VFR;426;17
SDWO;SAUBA;AMAJARI;RR;"062°34'47""W";"03°51'50""N";73;VFR;450;15
SDKA;Angical;NORMANDIA;RR;"059°50'06""W";"04°09'54""N";56;VFR;432;12
SDKL;Caracaranã;NORMANDIA;RR;"059°46'38""W";"03°50'12""N";33;VFR;920;20
SDKZ;Caraparu 4;UIRAMUTÃ;RR;"060°28'12""W";"04°33'29""N";239;VFR;615;20
SSVA;Fazenda Visa Estância;LADÁRIO;MS;"057°37'45""W";"19°03'45""S";248;VFR;510;18
SDWF;SAPAN;PACARAIMA;RR;"060°44'23""W";"04°34'27""N";332;VFR;614;12
SDVP;São Luiz Cotingo;UIRAMUTÃ;RR;"060°29'37""W";"04°20'02""N";60;VFR;635;20
SNRV;Fazenda Rio Vermelho;SAPUCAIA;PA;"049°27'31""W";"06°52'34""S";137;VFR;800;18
SIFF;Sunset Airfield;SÃO FRANCISCO DE PAULA;RS;"050°44'23""W";"29°19'26""S";861;VFR;300;30
SSTX;Fazenda Lagoa dos Patos;RIACHO DOS MACHADOS;MG;"043°04'21""W";"16°11'38""S";890;;1100;30
SDWI;Fazenda Lagoa do Cavalo;GRAVATÁ;PE;"035°38'04""W";"08°10'18""S";523;VFR;809;18
SWVW;Furnaspark Resort;FORMIGA;MG;"045°36'17""W";"20°32'10""S";789;VFR;730;14
SITT;Independência;ITAITUBA;PA;"056°41'58""W";"07°35'39""S";317;VFR;850;18
SJTP;Tapurah;TAPURAH;MT;"056°30'08""W";"12°43'23""S";384;VFR;1100;20
SWPC;Pari-Cachoeira;SÃO GABRIEL DA CACHOEIRA;AM;"069°47'44""W";"00°15'47""N";115;VFR;1200;30
SISK;Fazenda Cimal;APORÉ;GO;"052°02'50""W";"18°51'53""S";638;VFR;600;23
SIXK;Nossa Senhora do Carmo;ITAQUIRAÍ;MS;"054°12'08""W";"23°10'03""S";293;VFR;800;25
SSZD;Zirondi;PORTO VELHO;RO;"063°44'02""W";"08°46'27""S";84;VFR;1400;20
SDCK;Fazenda Gleba da Barra;BRASILÂNDIA DE MINAS;MG;"046°04'19""W";"17°00'48""S";508;VFR;1300;30
SWPW;CEA-Caçapava;CAÇAPAVA;SP;"045°39'46""W";"23°07'36""S";670;VFR;1380;30
SSBX;Fazenda Lageado;COXIM;MS;"054°47'45""W";"18°26'44""S";232;;1000;18
SSRW;Fazenda J Campos;PORANGABA;SP;"048°06'17""W";"23°12'11""S";551;VFR;745;18
SIAQ;Bom Futuro;CUIABÁ;MT;"056°05'54""W";"15°30'23""S";234;;1557;30
SDSP;Santa Inês;AMAJARI;RR;"061°20'25""W";"04°08'11""N";58;VFR;620;20
SWQY;Fazenda Peturú;PORTO DE MOZ;PA;"052°22'03""W";"02°41'04""S";117;VFR;965;18
SIAW;Sítio Gurupi;ULIANÓPOLIS;PA;"047°30'59""W";"03°44'21""S";128;;750;18
SIIE;Fazenda Santa Fé;GUIA LOPES DA LAGUNA;MS;"055°52'44""W";"21°28'24""S";337;;1059;18
SSSK;FC;CODÓ;MA;"043°55'25""W";"04°30'21""S";72;;850;20
SDDI;Fazenda Tamara;SALMOURÃO;SP;"050°49'57""W";"21°35'29""S";398;;600;23
SWEJ;Associação Tocantinense de Aviação;PORTO NACIONAL;TO;"048°32'43""W";"10°10'58""S";305;;1026;20
SJSV;Fazenda Guiné;SÃO ROQUE DE MINAS;MG;"046°11'29,6""W";"20°14'53,43""S";760;;800;18
SDLO;Cav. Lav. Fabio Perini;CAIRU;BA;"038°56'20""W";"13°33'52""S";6;VFR;1270;18
SDOS;Banaer;SETE BARRAS;SP;"047°52'09""W";"24°25'09""S";30;;500;18
SJJR;Fazenda Recreio;ANDRELÂNDIA;MG;"044°12'12,2""W";"21°42'46,5""S";1157;VFR;650;20
SJQP;Estância Rebog;COCALINHO;MT;"050°37'41""W";"12°48'03""S";244;VFR;1150;30
SJZ3;Solidão;MOSTARDAS;RS;"050°33'26""W";"30°41'33""S";17;VFR;500;23
SSAV;Fazenda Amonguijá;PORTO MURTINHO;MS;"057°28'30""W";"21°41'23""S";141;VFR;1020;30
SSGN;Fazenda Guaíba;IGUATEMI;MS;"054°32'24""W";"23°14'08""S";426,7;VFR;1000;30
SIWD;Pequena Holanda I;ALTO PARNAÍBA;MA;"046°08'11""W";"09°00'33""S";491;;1000;18
SNJF;Rural Verde;SÍTIO DO MATO;BA;"043°31'07""W";"12°38'51""S";443;VFR;1200;23
SSJY;Fazenda São João;CORUMBÁ;MS;"056°13'02""W";"17°42'27""S";46;VFR;660;18
SSCF;Max Fontoura;CAMPO LARGO;PR;"049°31'48""W";"25°25'56""S";957;VFR;900;23
SJVM;Estância Califórnia;ALTA FLORESTA;MT;"056°07'46""W";"09°53'31""S";288;VFR;640;20
SSWB;COOPADF;BRASÍLIA;DF;"047°33'29""W";"16°00'52""S";1049;VFR;799;20
SWMN;Santa Mônica;NATIVIDADE;TO;"047°43'19""W";"12°03'56""S";372;;1190;30
SWPA;Fazenda Futura;NOVA UBIRATÃ;MT;"055°04'11""W";"13°07'19""S";434;VFR;1050;20
SSEB;Mata Serena;SÃO DOMINGOS;GO;"046°46'13""W";"13°46'24""S";439;;1190;30
SITV;Fazenda Serra Dourada;COXIM;MS;"054°27'34""W";"18°32'42""S";326;VFR;900;40
SIBV;Fazenda Bela Vista;NOVA ALVORADA DO SUL;MS;"054°29'14""W";"21°26'19""S";369;VFR;800;30
SSZN;Fazenda Carandazal;CÁCERES;MT;"058°06'53""W";"16°42'36""S";108;;800;20
SJTK;Fazenda Itakiray;ITAQUIRAÍ;MS;"054°15'07""W";"23°30'41""S";382;VFR;1000;23
SJGR;Santa Maria;FLORES DE GOIÁS;GO;"046°39'25""W";"14°48'12""S";522;VFR;1190;30
SSYQ;Fazenda Água das Pedras;ANHEMBI;SP;"048°09'00""W";"22°39'17""S";503;;500;18
SWES;Clube de Aviação Experimental do Paraná;IBIPORÃ;PR;"051°05'26""W";"23°17'14""S";493;;550;18
SDLD;Fazenda Barra Grande;CONFRESA;MT;"051°59'39""W";"10°08'18""S";288;VFR;1000;19
SWXF;Fazenda Triflora;SÃO DESIDÉRIO;BA;"045°40'46""W";"12°26'56""S";743;VFR;1400;23
SIT9;Fazenda Divisão II;LUCAS DO RIO VERDE;MT;"056°19'18,45""W";"12°58'00,36""S";409;VFR;1100;18
SWWH;Fazenda Marca Salto;ANGÉLICA;MS;"053°54'14""W";"21°59'00""S";354;;900;18
SSPZ;Fazenda Redenção;PIRACICABA;SP;"048°02'56""W";"22°43'00""S";556;VFR;1000;25
SWSQ;São Joaquim;SÃO GABRIEL DA CACHOEIRA;AM;"069°23'02""W";"01°43'59""N";165;VFR;1200;30
SIZU;Agrochapada;PARANATINGA;MT;"054°16'36""W";"13°26'09""S";435;;1300;30
SWUK;Uapui-Cachoeira;SÃO GABRIEL DA CACHOEIRA;AM;"069°12'02""W";"01°12'59""N";76;VFR;900;30
SSZO;Santa Marta I;SANTA MARIA DAS BARREIRAS;PA;"050°39'06""W";"08°32'29""S";280;;1000;30
SDP8;Marechal Thaumaturgo;MARECHAL THAUMATURGO;AC;"072°46'46""W";"08°57'34""S";222;;1200;18
SNAN;Empresa Agrícola Chiapeta;CHIAPETTA;RS;"053°52'40""W";"28°03'59""S";476;VFR;900;25
SWQE;Querari;SÃO GABRIEL DA CACHOEIRA;AM;"069°50'02""W";"01°05'29""N";150;VFR;850;30
SWBS;Rolim de Moura;ROLIM DE MOURA;RO;"061°46'33,58""W";"11°39'27,22""S";250;VFR;1400;18
SJXM;Carolina de Assis Repetto;LIMA DUARTE;MG;"043°53'32""W";"21°43'49""S";1080;;760;20
SSOK;14 Bis;LONDRINA;PR;"051°11'04""W";"23°12'53""S";593;VFR;1035;18
SILG;Fazenda Panamá;SAPEZAL;MT;"058°44'50""W";"13°45'36""S";515;VFR;1100;25
SIEG;Fazenda Chapadão;GUARDA-MOR;MG;"047°14'38""W";"17°53'37""S";992;;1120;20
SIEF;Fazenda São José;CAMPO GRANDE;MS;"054°42'55""W";"20°34'17""S";483;;600;18
SIXZ;COLNIZA;COLNIZA;MT;"059°11'57""W";"09°26'47""S";160;VFR;1200;22
SJCC;Fazenda Serrana;CORRENTINA;BA;"046°13'52""W";"13°55'51""S";1003;VFR;1200;30
SWEW;Fazenda Felicidade;PORTO ESPERIDIÃO;MT;"058°38'07""W";"15°50'26""S";200;;1500;30
SDL8;Fazenda Lagoa da Serra;COCALINHO;MT;"051°27'06""W";"13°58'06""S";238;;1000;18
SSKD;Fazenda Cristal 2;NOVA CRIXÁS;GO;"050°27'10""W";"14°20'29""S";294;;1026;23
SWWV;Posto de Proteção Ambiental Santa Maria;BARÃO DE MELGAÇO;MT;"056°01'45""W";"16°42'23""S";146;VFR;700;18
SSAM;Posto de Proteção Ambiental Santo André;BARÃO DE MELGAÇO;MT;"056°10'21""W";"16°46'21""S";137;VFR;800;18
SSIA;Fazenda Ipê;BAIXA GRANDE DO RIBEIRO;PI;"045°18'37""W";"08°25'40""S";530;VFR;1500;25
SDOQ;Fazenda Campo Claro;RIBEIRÃO CASCALHEIRA;MT;"051°44'22""W";"12°40'27""S";346;VFR;1100;20
SIEZ;Asa Branca;TUBARÃO;SC;"048°56'57""W";"28°31'41""S";8;VFR;620;18
SNCQ;Dal Molin;SANTA IZABEL DO OESTE;PR;"053°30'02""W";"25°47'18""S";476;VFR;300;18
SDPX;Nova Vitória;PACARAIMA;RR;"060°56'30""W";"04°29'56""N";157;VFR;608;13
SIUB;Fazenda Uberaba;CÁCERES;MT;"057°53'48""W";"17°16'31""S";112;;1000;18
SIWC;Asas do Cerrado;UBERLÂNDIA;MG;"048°18'25""W";"19°01'59""S";873;VFR;750;20
SDBJ;Boa Vista;PATROCÍNIO;MG;"046°58'12""W";"18°45'26""S";1172;VFR;1000;18
SIQQ;José Bernardo;SÃO FRANCISCO DE ITABAPOANA;RJ;"041°03'12""W";"21°27'32""S";9;VFR;450;12
SJIR;Engenheiro Joaquim Martins;IRAMAIA;BA;"040°52'41""W";"13°18'40""S";528;VFR;1200;30
SIWQ;Fazenda Mateira;SANTA RITA DO PARDO;MS;"053°04'14""W";"20°57'43""S";384;VFR;850;20
SSBK;Fazenda Araruna;SONORA;MS;"054°38'27""W";"17°34'58""S";575;VFR;1130;40
SJYH;Fazenda Cachoeira Alta;SANTANA DO ARAGUAIA;PA;"050°58'08,14""W";"08°46'50,37""S";315;;1400;20
SWZP;Fazenda Vale Rico;SÃO JOSÉ DO POVO;MT;"054°12'15""W";"16°23'08""S";375;;800;30
SIHI;Fazenda Itaipavas;PIÇARRA;PA;"048°59'45""W";"06°36'59""S";193;VFR;616;18
SIDM;Fazenda Cibrapa;BARRA DO GARÇAS;MT;"052°05'54""W";"15°02'14""S";280;VFR;1000;25
SNOW;Fazenda Turmalina;RANCHARIA;SP;"050°58'20""W";"21°58'56""S";433;;1100;20
SWIH;Fazenda Felicidade;NOVO SÃO JOAQUIM;MT;"052°44'05""W";"14°54'06""S";413;VFR;1200;19
SDW2;Fazenda Santa Isabel;AQUIDAUANA;MS;"055°40'18""W";"19°55'51""S";137;;500;18
SWYO;Usina Branco Peres;ADAMANTINA;SP;"051°01'31""W";"21°28'56""S";407;;950;25
SJDC;Fazenda Vale Verde;PIUM;TO;"049°45'16,8""W";"09°57'27,9""S";158;;849;18
SSBZ;Umberto Modiano;ARMAÇÃO DOS BÚZIOS;RJ;"041°57'48""W";"22°46'16""S";3;VFR;1300;30
SJJD;Fazenda Cerro Porã;PORTO MURTINHO;MS;"057°28'09""W";"22°02'05""S";171;VFR;1001;18
SIBI;Fazenda Boa Luz;LARANJEIRAS;SE;"037°11'46""W";"10°50'17""S";52;VFR;430;18
SWPN;Pesqueiro Pantanal;SANTO ANTÔNIO DO LEVERGER;MT;"055°31'44""W";"17°19'29""S";135;VFR;800;18
SWHD;Fazenda Ipuitã;NAVIRAÍ;MS;"053°54'04,3""W";"23°01'19,3""S";324;VFR;1198;23
SWWE;M. Baumann;PIÊN;PR;"049°30'03""W";"26°02'09""S";952;VFR;500;15
SSTU;Fazenda Tujuri;ELDORADO;MS;"054°22'43""W";"23°41'34""S";376;VFR;1000;18
SDIN;Fazenda Piúna;ANAURILÂNDIA;MS;"052°55'48,6""W";"21°53'13,6""S";435;VFR;710;18
SWOM;Fazenda Marialva;NAVIRAÍ;MS;"053°58'49""W";"23°01'07""S";303;;900;18
SNCM;FAZENDA CAMPARINO;CÁCERES;MT;"058°23'12""W";"16°14'18""S";137;VFR;1000;18
SNJU;Aeroporto Municipal Cid Cley Mendes Leoncini;SÃO JOSÉ DO XINGU;MT;"052°44'49,44""W";"10°48'55,08""S";346;VFR;1200;20
SJCS;Fazenda Santa Carmem;PORTO VELHO;RO;"065°08'40""W";"09°43'11""S";122;VFR;750;20
SNIK;Kapoto;PEIXOTO DE AZEVEDO;MT;"053°14'54""W";"09°45'48""S";336;VFR;800;18
SSCW;Fazenda Centro Oeste;NOVA MARINGÁ;MT;"057°09'04""W";"13°24'20""S";388;VFR;700;18
SJSC;Fazenda San Cyro;SERTÃO;RS;"052°30'28""W";"27°57'17""S";649;VFR;700;18
SWCJ;Fazenda Campo Alegre;PALMEIRA DO PIAUÍ;PI;"044°14'54""W";"08°35'28""S";550;VFR;1100;20
SIAP;Fazenda Nossa Senhora Aparecida;NOVA UBIRATÃ;MT;"055°12'50""W";"12°59'55""S";414;;850;18
SSCE;Emival Caiado;SÃO JOSÉ DE MIPIBU;RN;"035°17'26""W";"06°00'42""S";64;;1000;22
SJFG;Fazenda Fartura;CAMPO VERDE;MT;"054°56'26""W";"15°07'18""S";886;VFR;1199;20
SJRU;Fazenda Terra Roxa;SANTA MARIA DAS BARREIRAS;PA;"050°24'23""W";"08°43'00""S";220;VFR;1100;18
SWTD;Fazenda Nova Agropecuária;NOVA BANDEIRANTES;MT;"058°08'36""W";"09°17'43""S";221;VFR;1400;23
SIWS;Fazenda Santa Fé;CÁCERES;MT;"058°30'57""W";"16°08'27""S";168;VFR;1000;25
SNWQ;Fazenda Santa Cecília;JARI;RS;"054°20'13,4""W";"29°19'44,7""S";383;VFR;800;18
SIKX;Fazenda Água Boa ;JUARA;MT;"057°40'08""W";"11°10'34""S";249;VFR;1250;20
SWNA;Novo Aripuanã;NOVO ARIPUANÃ;AM;"060°21'52""W";"05°07'03""S";36;VFR;1200;27
SICF;Fazenda Catuaí;JUARA;MT;"057°36'34""W";"11°28'06""S";293;VFR;800;18
SNNC;Fazenda Namocoli;CORUMBÁ;MS;"057°33'15""W";"20°36'32""S";84;VFR;500;18
SWQN;Fazenda Nego Velho  ;CASTANHEIRA;MT;"058°26'42""W";"10°58'37""S";267;VFR;1350;23
SSJD;Fazenda Bacaba - JEM;MIRANORTE;TO;"048°46'38""W";"09°31'44""S";348;VFR;1100;20
SSKO;Fazenda Matrinchã;BRASNORTE;MT;"057°20'25""W";"12°55'49""S";346;VFR;1000;18
SJYZ;Fazenda Gaúcha;CAMPO NOVO DO PARECIS;MT;"057°37'14""W";"13°43'23""S";559;VFR;900;18
SWVN;Clube de Voo Fazenda Novo Horizonte;ITU;SP;"047°24'43,2""W";"23°10'23,1""S";539;VFR;799;20
SSKQ;Fazenda Santa Rosa;NOVA CRIXÁS;GO;"050°27'43""W";"14°32'28""S";291;VFR;900;35
SDMY;Fazenda Cambuhy;MATÃO;SP;"048°28'46""W";"21°37'58""S";622;VFR / IFR;1499;30
